N°;Gender;Age;Southern;Skills;Economy;Jobs;Budget;Culture;Policy
1;Male;25;1;2;2;3;2;3;2
2;Male;23;1;4;4;3;3;4;3
3;Female;23;0;4;4;1;3;5;2
4;Male;22;0;1;3;4;4;1;3
5;Female;23;0;4;4;2;5;4;1
6;Female;24;1;2;2;1;3;2;2
7;Female;23;1;5;4;1;2;3;2
8;Male;25;0;4;4;2;2;4;1
9;Male;25;1;3;4;2;2;3;1
10;Male;25;1;4;4;2;3;4;2
11;Female;23;0;3;4;2;2;4;4
12;Male;25;1;4;5;1;2;5;1
13;Male;25;1;4;4;3;3;4;4
14;Male;25;1;2;3;4;3;4;4
15;Male;24;1;3;3;3;4;4;1
16;Male;28;1;4;3;1;4;5;2
17;Male;25;1;3;2;2;2;4;2
18;Female;20;0;4;5;2;2;4;2
19;Male;25;1;4;3;1;2;4;1
20;Male;23;1;5;5;2;5;5;2
21;Male;23;0;4;4;2;2;4;2
22;Male;25;1;1;4;3;4;3;3
23;Female;25;1;2;4;3;3;4;1
24;Male;22;0;4;4;2;2;3;2
25;Female;23;0;4;4;2;3;4;2
26;Male;25;1;4;4;1;1;5;1
27;Male;24;0;2;3;4;4;2;2
28;Male;25;1;2;3;2;1;2;3
29;Male;25;1;3;4;2;2;4;2
30;Female;24;1;4;3;1;2;4;2
31;Female;26;1;4;4;1;1;5;2
32;Male;58;0;5;4;2;4;5;4
33;Female;28;0;4;4;2;2;5;1
34;Male;22;0;5;5;2;2;5;4
35;Male;31;0;1;5;4;1;5;2
36;Female;21;1;4;4;2;2;4;4
37;Female;24;1;5;4;1;1;5;5
38;Male;22;1;5;5;4;5;5;2
39;Male;16;1;4;4;1;1;4;3
40;Female;26;1;5;4;1;1;5;2
41;Female;24;1;4;4;2;3;4;4
42;Male;24;0;5;5;2;3;4;4
43;Male;25;1;4;4;2;3;5;2
44;Male;23;1;4;4;2;4;4;2
45;Female;24;0;4;3;4;3;5;3
46;Male;25;0;4;4;4;4;5;4
47;Female;24;0;5;5;2;3;4;4
48;Female;22;0;2;2;4;4;2;2
49;Female;24;0;4;4;2;4;2;3
50;Male;25;0;4;3;4;4;4;2
51;Female;23;0;4;3;2;4;2;2
52;Female;24;0;4;2;2;4;2;3
53;Male;20;1;5;4;3;1;4;2
54;Female;26;1;4;4;4;4;4;4
55;Female;21;1;3;4;2;2;2;4
56;Male;26;1;3;4;2;3;4;3
57;Male;19;0;3;4;2;2;4;4
58;Female;24;0;2;2;4;4;2;3
59;Female;22;1;4;5;1;2;3;3
60;Female;28;0;2;4;2;3;2;5
61;Female;27;0;3;5;2;4;2;2
62;Male;23;1;2;3;4;5;2;2
63;Male;25;0;2;1;3;5;2;2
64;Male;23;1;2;3;5;5;2;2
65;Male;25;0;4;4;2;2;4;2
66;Male;23;0;4;4;2;2;4;4
67;Female;24;0;4;4;4;4;4;4
68;Male;21;0;4;3;3;4;2;2
69;Female;22;0;4;4;3;4;4;2
70;Female;22;0;2;2;4;4;1;3
71;Male;24;0;2;2;2;2;2;2
72;Male;23;0;5;1;5;5;1;1
